Year,State,Votes_Cast
2020,New Hampshire,814499
2020,New Jersey,4635585
2020,New Mexico,928230
2020,New York,8690139
2020,North Carolina,5545848
2020,North Dakota,364251
2020,Ohio,5974121
2020,Oklahoma,1565000
2020,Oregon,2413890
2020,Pennsylvania*,6958551
2020,Rhode Island,522488
2020,South Carolina,2533010
2020,South Dakota,427529
2020,Tennessee,3065000
2020,Texas,11350000
2020,Utah,1515845
2020,Vermont,370968
2020,Virginia,4523142
2020,Washington,4116894
2020,West Virginia,802726
2020,Wisconsin,3310000
2020,Wyoming,278503
2022,Alabama*,1424087
2022,Alaska,267047
2022,Arizona,2592313
2022,Arkansas,914227
2022,California,11146610
2022,Colorado,2540666
2022,Connecticut,1297811
2022,Delaware,325632
2022,District of Columbia,205774
2022,Florida,7796916
2022,Georgia,3964926
2022,Hawaii,423443
2022,Idaho*,595350
2022,Illinois,4144125
2022,Indiana,1880755
2022,Iowa,1230417
2022,Kansas*,1008998
2022,Kentucky,1502550
2022,Louisiana,1410466
2022,Maine,680909
2022,Maryland,2031635
2022,Massachusetts,2511461
2022,Michigan,4500400
2022,Minnesota,2526646
2022,Mississippi*,709100
2022,Missouri*,2304250
2022,Montana,468326
2022,Nebraska,682716
2022,Nevada,1023617
2022,New Hampshire,626931
2022,New Jersey,2645539
2022,New Mexico,714754
2022,New York,5962278
2022,North Carolina,3790202
2022,North Dakota,242566
2022,Ohio,4201368
2022,Oklahoma*,1153284
2022,Oregon,1997689
2022,Pennsylvania*,5410022
2022,Rhode Island*,361449
2022,South Carolina,1718626
2022,South Dakota*,354670
2022,Tennessee*,1756397
2022,Texas*,8151590
2022,Utah,1084634
2022,Vermont,291955
2022,Virginia,3021956
2022,Washington,3067686
2022,West Virginia,494753
2022,Wisconsin*,2673154
2022,Wyoming,198198
